InventoryID	LanguageCode	LanguageName	Phoneme	PhonemeOld	Allophones	AllophonesOld	Notes	NotesTwo
	avu	Avokaya	nd	nd
	avu	Avokaya	ɱv	mv
	avu	Avokaya	˨˦	˨˦
	avu	Avokaya	ʔ	ʔ
	avu	Avokaya	kp	kp
	avu	Avokaya	dz	ʣ
	avu	Avokaya	mb	mb
	avu	Avokaya	ndr	ndr
	avu	Avokaya	ts	ʦ
	avu	Avokaya	tr	tr
	avu	Avokaya	ŋmɡb	ŋmɡb
	avu	Avokaya	r	r
	avu	Avokaya	ɪ	ɪ
	avu	Avokaya	ŋɡ	ŋɡ
	avu	Avokaya	ʔʲ	ʔj			AA has glottalized /y/, assumed change to /j/ for IPA
	avu	Avokaya	wˀ	ʔw
	avu	Avokaya	ŋ	ŋ
	avu	Avokaya	ɓ	ɓ
	avu	Avokaya	ɔ	ɔ
	avu	Avokaya	ɗ	ɗ
	avu	Avokaya	ə	ə
	avu	Avokaya	ɛ	ɛ
	avu	Avokaya	dr	dr
	avu	Avokaya	a	a
	avu	Avokaya	b	b
	avu	Avokaya	d	d
	avu	Avokaya	ɡ	ɡ
	avu	Avokaya	f	f
	avu	Avokaya	i	i
	avu	Avokaya	h	h
	avu	Avokaya	k	k
	avu	Avokaya	j	j
	avu	Avokaya	m	m
	avu	Avokaya	l	l
	avu	Avokaya	n	n
	avu	Avokaya	p	p
	avu	Avokaya	s	s
	avu	Avokaya	ɲ	ɲ
	avu	Avokaya	u	u
	avu	Avokaya	t	t
	avu	Avokaya	w	w
	avu	Avokaya	v	v
	avu	Avokaya	z	z
	avu	Avokaya	ɡb	ɡb
	avu	Avokaya	iː	iː			apparently all vowels have phonemic long counterpart
	avu	Avokaya	ɪː	ɪː			apparently all vowels have phonemic long counterpart
	avu	Avokaya	ɛː	ɛː			apparently all vowels have phonemic long counterpart
	avu	Avokaya	əː	əː			apparently all vowels have phonemic long counterpart
	avu	Avokaya	aː	aː			apparently all vowels have phonemic long counterpart
	avu	Avokaya	uː	uː			apparently all vowels have phonemic long counterpart
	avu	Avokaya	ɔː	ɔː			apparently all vowels have phonemic long counterpart

661	bav	Babungo (Grassfields Bantu, Ring)	˦	˦				"""In the orthography, the tones are marked only where they carry a grammatical function."""
	bav	Babungo (Grassfields Bantu, Ring)	˨	˨
	bav	Babungo (Grassfields Bantu, Ring)	ʃ	ʃ	[ʃ]	[ʃ]		affricate allophone after nasals
	bav	Babungo (Grassfields Bantu, Ring)	ʃ	ʃ	[t̠ʃ]	[ʧ]		affricate allophone after nasals
	bav	Babungo (Grassfields Bantu, Ring)	˦˨	˦˨
	bav	Babungo (Grassfields Bantu, Ring)	˧	˧
	bav	Babungo (Grassfields Bantu, Ring)	˨˧	˨˧
	bav	Babungo (Grassfields Bantu, Ring)	˩	˩
	bav	Babungo (Grassfields Bantu, Ring)	˨˦˧	˨˦˧
	bav	Babungo (Grassfields Bantu, Ring)	˦˧	˦˧
	bav	Babungo (Grassfields Bantu, Ring)	˨˦	˨˦
	bav	Babungo (Grassfields Bantu, Ring)	ʔ	ʔ
	bav	Babungo (Grassfields Bantu, Ring)	ŋ	ŋ
	bav	Babungo (Grassfields Bantu, Ring)	ɔ	ɔ	[ɔ]	[ɔ]
	bav	Babungo (Grassfields Bantu, Ring)	ɔ	ɔ	[ɔ̃]	ɔ̃,ɔˑ
	bav	Babungo (Grassfields Bantu, Ring)	ɔ	ɔ	[ɔˑ]	ɔ̃,ɔˑ
	bav	Babungo (Grassfields Bantu, Ring)	ə	ə	[ə]	ə̃,əˑ
	bav	Babungo (Grassfields Bantu, Ring)	ə	ə	[ə̃]	ə̃,əˑ
